0 49
16 28 9
5 46 14
43 45 4
32 43 5
12 21 8
9 46 15
44 49 8
14 17 17
41 48 1
34 44 19
16 23 12
30 42 8
12 21 7
47 49 19
20 43 13
20 38 15
36 41 16
23 49 14
28 32 16
48 49 5
5 25 20
19 21 9
13 32 17
15 36 9
48 49 4
30 40 6
35 43 20
1 30 19
5 28 3
3 22 10
28 32 15
47 49 4
18 23 8
33 41 9
4 6 3
32 37 4
5 19 12
0 37 18
22 38 8
29 36 8
7 41 14
10 13 6
4 28 7
37 39 6
18 28 19
31 43 12
45 49 12
48 49 18
4 9 6
1 7 11
45 47 1
34 49 5
3 21 13
21 28 17
9 16 4
35 48 19
31 45 7
16 21 4
5 12 7
47 49 1
39 49 8
1 18 7
4 26 6
24 47 16
20 28 5
40 44 16
21 49 20
3 46 1
38 41 4
42 47 13
21 32 17
33 44 1
33 47 19
32 43 11
11 26 7
29 46 2
24 25 16
17 49 18
47 49 3
2 31 7
39 46 9
32 42 9
21 43 14
18 28 7
20 24 16
2 39 17
8 20 17
30 37 13
22 35 19
10 15 6
0 9 5
28 43 13
9 34 4
11 12 3
0 1 11
1 2 3
2 3 2
3 4 1
4 5 5
5 8 13
8 10 19
10 11 14
11 14 20
14 29 10
29 33 20
