0 49
37 43 18
9 10 20
6 36 15
8 24 5
21 29 18
6 17 14
48 49 6
24 35 7
5 39 18
28 46 4
35 40 4
25 28 4
7 21 5
10 24 9
22 29 15
0 19 20
10 11 15
36 37 15
19 27 18
24 48 2
28 31 6
28 40 18
28 33 10
8 11 16
39 42 12
28 38 15
36 38 6
25 43 14
32 39 2
12 31 17
34 42 11
35 40 9
23 41 19
46 47 15
39 43 9
30 32 7
12 44 5
17 23 4
30 49 17
28 34 17
16 41 10
19 34 17
22 31 1
39 49 8
22 39 19
36 47 14
8 35 3
36 43 6
48 49 12
5 9 3
12 16 2
1 13 3
21 47 17
24 28 19
10 48 10
17 31 6
41 42 15
12 41 9
17 30 11
1 33 3
43 46 1
41 42 5
34 42 1
48 49 5
33 41 6
29 44 20
43 49 8
8 40 5
29 42 5
0 19 3
19 20 12
27 36 4
5 33 19
18 31 2
23 44 5
31 48 7
5 33 3
34 41 13
8 49 10
2 18 17
30 34 10
0 7 4
14 43 5
46 48 4
14 18 4
21 30 18
20 49 5
31 47 9
23 35 6
0 6 4
43 46 2
39 47 9
27 29 6
14 44 2
0 1 10
1 2 12
2 5 2
5 8 4
8 12 10
12 14 7
14 22 15
22 25 17
